Checkpoint,Bracket,,APC,AXIN1,BIRC5,CCNA1,CCNA2,CCND2,CCND3,CCNE1,CCNE2,CD44,DKK1,DKK4,ICAM1,JUNB,MMP2,MMP7,MMP9,MYC,NANOG,PARP1,RYK,SFRP4,VEGFA,WNT2,CDC45,CDC6,CDC7,CK2,DLL1,DLL3,JAG1,BMP2,BMPR1A,BMPR1B,LEF1,RUNX1,RUNX1T1,RUNX2,SNAIL1,TCF3,TCF4,TCF7,TLE1,TLE2,TLE3,TLE4,CCND1,CCNB1,CCNB2,FOXM1,CXCR4,CDC25C
12M,0.1-1%,APC,1.0,-0.6320473681194005,0.9990027280908624,-0.19987318651972458,0.9956882590387903,-0.18785479725429682,0.7480163182261909,0.9946388607937502,0.658855168040233,-0.4377790596624676,-0.0,-0.8644574254824687,0.9377974660000236,0.7818041628539546,-0.3017036604875076,-0.7834620913951859,0.9813668420670509,0.9637503712866179,0.7244605432701361,-0.36208227289579314,0.48885893877565373,-0.0,0.7673295473596484,-0.0,-0.9489377932451496,-0.8711186533464842,0.9999745860067059,0.9815705286598254,-0.5196998670077837,-0.5274952160032852,-0.785137426760316,0.9999999999999998,0.8482726673791998,0.9999999999999998,-1.0,0.9360618588618207,1.0,1.0,1.0,-0.30100605298155547,-0.7327031418188713,0.7177026463486238,0.46435889487361354,1.0,0.9962980879177434,1.0,0.17845922612804824,0.980814080213984,0.9916833800076569,0.9625679994370475,0.398615884032095,0.8675666884377555
12M,0.1-1%,AXIN1,-0.6320473681194005,1.0,-0.5968170670030961,0.8856223685048362,-0.7012066042359478,-0.6424004032996982,-0.9870873846832926,-0.7087940172653938,-0.9993839343963586,-0.4200287445339859,-0.0,0.9359399063965271,-0.3236901202122144,-0.010949918283676252,-0.5481283812972345,0.013613131856126833,-0.7691680383209348,-0.4023802967975709,0.07627830887417093,-0.4934946323843027,-0.9850019330323392,-0.0,0.011937382248280008,-0.0,0.3553117728346601,0.1700414880635828,-0.6265065756255949,-0.47230981623558693,0.9905353189168812,0.9917497361568852,0.016313323202306097,-1.0,-0.12577693420895386,-1.0,1.0000000000000002,-0.318987661613657,-1.0000000000000002,-1.0000000000000002,-0.9999999999999998,-0.5487401564296278,-0.06427410146849662,0.08600003711690292,0.39281748600216554,-1.0,-0.6963250462197084,-1.0000000000000002,0.6496953615440569,-0.468851905286285,-0.7265254852628761,-0.8184257670224233,0.4587578855498459,-0.1629545075453387
12M,0.1-1%,BIRC5,0.9990027280908624,-0.5968170670030961,1.0,-0.1559256199226735,0.9905535152923008,-0.23152173705866697,0.717637559861251,0.9890297834568985,0.6246098801831016,-0.47748577500600736,-0.0,-0.8411499140901986,0.9523636552694085,0.808864329371806,-0.3439713862700725,-0.8104275342640523,0.9718091031655689,0.9747019008194093,0.7545154653156029,-0.4033407391595014,0.4494211277527675,-0.0,0.7951957301836887,-0.0,-0.9620766198194222,-0.8921758997486996,0.999295658162747,0.9891241044209619,-0.4810356070450851,-0.4890370918071258,-0.8120066319693386,0.9999999999999998,0.871071115446651,0.9999999999999999,-1.0,0.9508375157656412,1.0,1.0,0.9999999999999998,-0.3432843185832398,-0.7623583648938953,0.7480783449147261,0.5034392202821807,1.0,0.9914662050283769,1.0,0.22221369412888145,0.9885400976801256,0.9849479859977553,0.9495063301077202,0.43916692100202437,0.8889064572524426
12M,0.1-1%,CCNA1,-0.19987318651972458,0.8856223685048362,-0.1559256199226735,1.0,-0.28990215212559417,-0.9248306848999751,-0.7997968489166868,-0.30012457472657633,-0.8687778221778948,-0.7934403981405261,-0.0,0.6653441812401836,0.15273672203500796,0.4546807595692041,-0.8738613244924484,-0.4523069669530217,-0.38441529453455237,0.06879406700197807,0.5306068542282515,-0.8409665477997965,-0.9524699070438238,-0.0,0.47494501665254735,-0.0,-0.11943054458889041,-0.3070503584772932,-0.19288263455413576,-0.008945464576997093,0.9409837265259434,0.9378475775891476,-0.44989685131194856,-0.9999999999999998,0.34932716923351526,-0.9999999999999999,0.9999999999999998,0.15764238577155096,-1.0,-1.0,-0.9999999999999998,-0.8742167856382874,-0.5203684155133919,0.5388490883965272,0.7749634380370106,-0.9999999999999999,-0.2833644433140991,-1.0,0.9284237827563815,-0.005026609796200544,-0.3243154405599487,-0.45796272497188856,0.8189395328893286,0.31388249215689523
12M,0.1-1%,CCNA2,0.9956882590387903,-0.7012066042359478,0.9905535152923008,-0.28990215212559417,1.0,-0.09593373457122287,0.8063557463930763,0.9999427700039056,0.7257968216460184,-0.35249027587076875,-0.0,-0.907362403226054,0.9015483620082343,0.7205935437757303,-0.21196281407354317,-0.7224376852758534,0.9949591628196917,0.9348453624406754,0.6573941215490586,-0.27405281429063694,0.5676737085497119,-0.0,0.7045367603970556,-0.0,-0.9155830432100952,-0.821809469042893,0.995001619824458,0.9596113061862298,-0.5967106392428777,-0.6040279604153143,-0.724302267969738,0.9999999999999999,0.795491826335338,0.9999999999999999,-1.0,0.8993886471853704,1.0,1.0,0.9999999999999998,-0.21124776246673146,-0.6664145114908133,0.6500129236509329,0.3802018139659806,0.9999999999999999,0.9999767161934233,1.0,0.08641629414336784,0.9585014240250063,0.9993461767526931,0.9835600455188952,0.3118229530989366,0.8176932138110818
12M,0.1-1%,CCND2,-0.18785479725429682,-0.6424004032996982,-0.23152173705866697,-0.9248306848999751,-0.09593373457122287,1.0,0.5113462550705314,-0.08527914387409767,0.6151079045645155,0.965314944277094,0.0,-0.3313637918075279,-0.5171716146080129,-0.7592890037621391,0.9931046404725937,0.7575530857245247,0.0043682553308677366,-0.44310072834410535,-0.8131376313273305,0.9835698585778718,0.7649975100046196,0.0,-0.7739831541670551,0.0,0.4881095186468353,0.6459737529215148,-0.19485242792186364,-0.37209076745798064,-0.7415106547889607,-0.7353406523357989,0.7557875141629433,0.9999999999999999,-0.6794839438996682,0.9999999999999999,-1.0,-0.5214153850889912,1.0,1.0000000000000002,0.9999999999999999,0.9931901433074838,0.8060742546824198,-0.8187763444104391,-0.9571118203624169,1.0,-0.10272403361853448,1.0000000000000002,-0.9999543295016611,-0.37572545862056306,-0.05988228616804255,0.08539190593176328,-0.9756722546065326,-0.6514435302785346
12M,0.1-1%,CCND3,0.7480163182261909,-0.9870873846832926,0.717637559861251,-0.7997968489166868,0.8063557463930763,0.5113462550705314,1.0,0.8126369884794618,0.9921010971185389,0.26923755130766513,-0.0,-0.980264371871913,0.47106939515711116,0.1709816154743247,0.4070747334609303,-0.1736052002871298,0.8616002688666113,0.543827382203554,0.08442265441261272,0.34780361469638876,0.9446445308875036,0.0,0.14838803963579764,0.0,-0.5004541961680753,-0.32569574442776905,0.7432657122760018,0.6074013092864816,-0.955758547706847,-0.9584099684593019,-0.1762640524167905,0.9999999999999999,0.2830634344609107,0.9999999999999998,-0.9999999999999998,0.46668326402080434,0.9999999999999998,1.0,0.9999999999999998,0.40774288147140986,-0.0964073252461829,0.0746996854050429,-0.2404385451625397,0.9999999999999999,0.8023010433550866,1.0,-0.5195360660551873,0.6042834557861778,0.8272119995594865,0.8999006909437753,-0.3105019782269349,0.3188919626915732
12M,0.1-1%,CCNE1,0.9946388607937502,-0.7087940172653938,0.9890297834568985,-0.30012457472657633,0.9999427700039056,-0.08527914387409767,0.8126369884794618,1.0,0.7331148420355741,-0.3424583328236482,-0.0,-0.9118075577544825,0.8968677810852297,0.7131344549232743,-0.2014953317653543,-0.7149990500501301,0.9959750712529662,0.9309933235600757,0.6492947188479075,-0.2637482794150907,0.5764487540785882,-0.0,0.6969041013810122,-0.0,-0.9112284901205789,-0.8156668653782503,0.9938763422273853,0.9565466023502215,-0.6052615257641316,-0.6125196577435573,-0.7168844249943535,1.0,0.7889634246579188,1.0,-1.0000000000000002,0.8946603508672479,1.0000000000000002,1.0000000000000002,1.0,-0.20077866480709286,-0.6583998107492265,0.64184572765481,0.37028502560285953,1.0000000000000002,0.9998464812694098,1.0000000000000002,0.07575292558805753,0.9553965735868798,0.9996757916155605,0.9854356963324459,0.301640084917599,0.8114878121970063
12M,0.1-1%,CCNE2,0.658855168040233,-0.9993839343963586,0.6246098801831016,-0.8687778221778948,0.7257968216460184,0.6151079045645155,0.9921010971185389,0.7331148420355741,1.0,0.3879196898914356,0.0,-0.9477228173590471,0.35669755044566376,0.04603738821477161,0.518436339434347,-0.04869781304353029,0.7911223634802046,0.43426212366068906,-0.04123724735325006,0.4626656237321775,0.9783394722112414,0.0,0.023163791140251407,0.0,-0.38789908706025383,-0.20452194018487446,0.6534752444643004,0.5029538830846353,-0.9851078305075414,-0.9866397854775801,-0.051394922717752,0.9999999999999997,0.16051705152808135,0.9999999999999998,-1.0,0.35205399270333276,1.0,1.0000000000000002,0.9999999999999997,0.5190618198939316,0.02921075379130329,-0.050980762722743024,-0.36030033140227213,0.9999999999999998,0.7210856256282125,1.0,-0.6226150712345224,0.49956282659817924,0.7501939662929982,0.8380883391968692,-0.42729002859436505,0.19748132475469313
12M,0.1-1%,CD44,-0.4377790596624676,-0.4200287445339859,-0.47748577500600736,-0.7934403981405261,-0.35249027587076875,0.965314944277094,0.26923755130766513,-0.3424583328236482,0.3879196898914356,1.0,0.0,-0.07353288437421049,-0.7226941230721209,-0.9028571132530601,0.9892664569109313,0.9017088015770328,-0.25686898632699884,-0.661789989178707,-0.9369059101685266,0.9965883988832349,0.5703140377395394,0.0,-0.9124601816419378,0.0,0.6990526126269988,0.8228723215069784,-0.444177790046388,-0.6015259103358157,-0.5406165013363937,-0.5328964441522247,0.9005379727740054,0.9999999999999999,-0.8474739197499709,1.0,-1.0,-0.7261174222728548,1.0000000000000002,1.0000000000000002,0.9999999999999999,0.9891592859339519,0.9326312948281138,-0.9402710824279101,-0.9995565002846981,1.0000000000000002,-0.35886807987981284,1.0000000000000002,-0.9627756013890831,-0.6046519515884992,-0.3184249482334742,-0.17770449634271268,-0.9990704852239558,-0.8269350565197181
