,APC,AXIN1,BIRC5,CCNA1,CCNA2,CCND2,CCND3,CCNE1,CCNE2,CD44,DKK1,DKK4,ICAM1,JUNB,MMP2,MMP7,MMP9,MYC,NANOG,PARP1,RYK,SFRP4,VEGFA,WNT2,CDC45,CDC6,CDC7,CK2,DLL1,DLL3,JAG1,BMP2,BMPR1A,BMPR1B,LEF1,RUNX1,RUNX1T1,RUNX2,SNAIL1,TCF3,TCF4,TCF7, TLE1,TLE2,TLE3,TLE4,CCND1,CCNB1,CCNB2,FOXM1,CXCR4,CDC25C
DKK1,0.035526243,0.043801786,-0.33424283,-0.291858945,-0.13388751,-0.13955082,0.16212975,0.138939676,-0.294105631,-0.334809634,1,-0.010902014,-0.071685502,0.026847142,-0.355254047,-0.337933499,-0.277636166,-0.050102465,-0.164218377,-0.36410768,-0.086666231,-0.408417594,0.208295602,-0.217692045,-0.257999207,-0.297695223,0.109015732,-0.150093441,-0.020476527,0.185909435,-0.342691682,0.169413423,0.26342363,0.07900564,0.439292597,0.174200426,-0.212993027,-0.289432831,0.031931443,0.158579295,0.08811041,-0.16082083,-0.058797548,-0.031621781,0.188201202,0.100321231,0.319900734,0.254780196,0.011114319,-0.129509621,0.004772084,-0.110285897
DKK4,-0.498343653,-0.073941522,-0.169156162,-0.008963618,-0.184206356,0.16195388,0.461745682,0.16813713,-0.382571227,-0.201277627,-0.010902014,1,-0.42876377,0.050853152,-0.189810355,0.011473994,-0.334145785,-0.29679823,-0.093360507,-0.204663564,-0.370905933,-0.139840484,0.183855434,0.11805931,-0.090285754,-0.148088692,0.082716044,-0.368310766,-0.057374918,-0.306809799,-0.311649485,0.059402262,0.007367225,0.18703403,0.451834991,0.179662011,-0.030781278,0.188119781,0.151065253,0.161597835,0.080618318,-0.097442421,0.273135845,-0.183563625,0.186031495,0.188277695,-0.156077854,-0.101167416,-0.021616267,-0.175235219,0.184450377,-0.242202232
ICAM1,0.747089254,0.420361224,-0.078147223,-0.181986491,-0.418536042,-0.209286749,0.027947391,-0.290816007,-0.143833961,0.315248427,-0.071685502,-0.42876377,1,0.160795472,0.291719455,0.034718572,0.141193054,-0.154656564,0.48037221,0.003317916,-0.208758533,0.384754059,0.058950026,-0.148921873,-0.071603435,-0.047150162,0.0441465,0.447275692,0.141661234,-0.269764719,0.574828386,-0.002156998,-0.138576558,0.08429516,-0.245441769,0.078437561,-0.072214693,0.486792791,-0.018234448,0.031469258,0.190624583,0.298598865,-0.167385754,0.344366903,0.131780403,0.084792723,-0.351681004,-0.449404111,-0.19160859,0.207909333,0.337363077,-0.254338978
JUNB,-0.079179664,0.120560632,-0.254943306,0.055636064,-0.285173152,-0.382915609,-0.006501343,0.230532873,-0.366087442,0.070445706,0.026847142,0.050853152,0.160795472,1,-0.040775721,-0.017891494,-0.170964587,-0.152192732,-0.030848789,-0.186467389,-0.202216548,-0.014157892,0.643017799,-0.125268969,-0.245921695,-0.249808812,0.804164176,-0.116382039,0.700088446,-0.347023667,-0.04810036,0.885254279,0.42186727,0.792196348,0.072051326,0.800074661,0.099702112,0.388630962,0.258425639,0.823705863,0.778498577,0.646628873,-0.020278525,0.431385292,0.229950724,0.804541932,-0.294186028,-0.35926976,-0.126156314,0.049541248,0.512594336,-0.26873348
MMP2,0.282466866,0.215732907,0.235270155,0.143419966,-0.150702796,0.028443481,-0.085085362,-0.217608816,-0.014458776,0.800145174,-0.355254047,-0.189810355,0.291719455,-0.040775721,1,0.497159678,0.517444082,-0.112258153,-0.031694704,0.437068691,0.250590759,0.506278782,-0.13271335,0.003884937,0.169063096,0.10825581,-0.120821473,0.557845841,0.114625469,0.219318514,0.598871731,-0.203244096,-0.123802186,-0.084490442,-0.500258712,-0.153057486,0.066535917,0.053528783,-0.043430324,-0.261416601,0.014615141,0.428602635,-0.180727787,0.463170691,0.044481246,-0.163124502,-0.293212037,-0.091275426,0.167023475,0.380659193,-0.165069441,0.122180974
MMP7,-0.053841733,0.01636933,0.314378767,0.236969888,-0.188745576,-0.116744638,-0.231841471,-0.207503013,-0.018981598,0.562505508,-0.337933499,0.011473994,0.034718572,-0.017891494,0.497159678,1,0.021883045,-0.070485461,-0.180753365,0.193436307,0.072286652,0.544715403,-0.085050704,0.096921092,0.146555129,0.102860078,-0.046734428,0.27087672,0.154951137,0.15858921,0.395977975,-0.061361745,-0.144617485,-0.047582942,-0.34015836,-0.076423074,0.250546437,0.069548241,-0.110850553,-0.193396391,0.020385625,0.028396058,0.068955233,0.318624652,-0.180886049,-0.09912884,-0.361751383,-0.064170858,0.20058132,0.217480988,-0.112678935,-0.013799498
MMP9,0.231271794,0.183742114,0.486554136,-0.060041901,0.313782745,0.215927057,-0.076741291,-0.083161527,0.461016518,0.407538683,-0.277636166,-0.334145785,0.141193054,-0.170964587,0.517444082,0.021883045,1,0.314284047,-0.060418027,0.737219764,0.428156382,-0.021812646,-0.200794821,-0.119685097,0.239559934,0.269286882,-0.141133683,0.310825846,-0.058665778,0.169437111,0.320065789,-0.360681457,-0.042419338,-0.181720631,-0.280992862,-0.182236006,0.010560523,-0.209188946,-0.236016979,-0.260063573,-0.093674355,0.220008854,-0.136684034,0.030971815,-0.019720964,-0.193955711,-0.001395122,0.216527892,0.378766948,0.357017985,-0.305150809,0.512157331
MYC,-0.112522953,0.168715121,0.179169396,-0.033948506,0.39747434,0.127559125,-0.082270649,0.286031208,0.341961551,0.025012152,-0.050102465,-0.29679823,-0.154656564,-0.152192732,-0.112258153,-0.070485461,0.314284047,1,-0.322123484,0.226611923,0.638437652,-0.359560784,0.065462302,0.311572155,0.28762124,0.185248861,-0.117864814,0.306727773,-0.063208508,0.282570483,0.285345345,-0.357671329,-0.099156205,-0.238993269,-0.023656555,-0.177136443,-0.285351165,-0.153495713,0.110945755,-0.236489861,-0.271224851,-0.236740493,-0.220599873,-0.343800885,-0.085469033,-0.196545329,0.096361847,0.362179341,0.251127289,-0.194667487,-0.220748647,0.385271181
NANOG,0.556580501,0.211222744,0.186312576,-0.289443172,-0.303548653,-0.140736599,-0.155919984,-0.66849619,-0.2208492,-0.193241941,-0.164218377,-0.093360507,0.48037221,-0.030848789,-0.031694704,-0.180753365,-0.060418027,-0.322123484,1,0.202659341,-0.546749166,0.339698697,-0.387336506,0.07137359,-0.023398962,0.004510401,-0.240056526,-0.020571637,-0.339438626,-0.429222274,0.085165278,-0.398246541,-0.389218371,-0.321468216,-0.271105133,-0.297832141,0.068378163,0.259175513,0.243113154,-0.248463858,-0.266498526,0.047902766,0.00700392,-0.101568844,-0.204874722,-0.283514913,-0.258074308,-0.349524102,-0.232836181,-0.078534053,0.371977752,-0.31634231
PARP1,0.201400892,-0.057270658,0.682817899,0.007523654,0.226184243,0.108459695,-0.366252669,-0.404618666,0.420562334,0.220491756,-0.36410768,-0.204663564,0.003317916,-0.186467389,0.437068691,0.193436307,0.737219764,0.226611923,0.202659341,1,0.14860276,0.287605529,-0.471727914,0.171857598,0.408688631,0.375773386,-0.244597748,0.231945606,-0.179602185,0.056658329,0.310587708,-0.462103231,-0.135890164,-0.389064027,-0.519482321,-0.340343439,0.084967601,-0.274123276,-0.132384372,-0.409311089,-0.276135763,0.076627219,0.002442484,-0.136171968,-0.302034714,-0.358242273,-0.110891805,0.052078099,0.259555349,0.17999466,-0.210119932,0.367672773
